Model,Split,mP,mR,mAP@0.50,mAP@0.50:0.95,F1_from_mP_mR
BYOL-YOLOv12s,validation,0.9951,0.9886,0.9929,0.9614,0.9919
BYOL-YOLOv12s,test,0.9907,0.9919,0.9943,0.9592,0.9913
