epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3760.54,0.41157,0.23014,0.8638,0.99002,0.98886,0.99287,0.93944,0.28167,0.16173,0.79121,0.000186656,0.000186656,0.000186656
43,3849.78,0.41839,0.2299,0.8682,0.99496,0.98762,0.99286,0.9419,0.27697,0.16039,0.78945,0.000176018,0.000176018,0.000176018
44,3939.0,0.40277,0.22665,0.86379,0.98348,0.9927,0.99002,0.93971,0.28011,0.15963,0.791,0.000165535,0.000165535,0.000165535
45,4028.24,0.41155,0.22744,0.86336,0.98616,0.99313,0.99063,0.94046,0.27658,0.16008,0.78916,0.000155226,0.000155226,0.000155226
46,4117.5,0.39642,0.22368,0.86053,0.98949,0.99267,0.9928,0.94513,0.26207,0.15508,0.78546,0.000145114,0.000145114,0.000145114
47,4207.24,0.39216,0.22206,0.85679,0.99058,0.99094,0.99272,0.94185,0.26027,0.15336,0.78523,0.000135218,0.000135218,0.000135218
48,4296.44,0.38838,0.22185,0.85599,0.98602,0.99343,0.9923,0.94584,0.26527,0.15417,0.78632,0.000125557,0.000125557,0.000125557
49,4385.8,0.38531,0.21811,0.85515,0.98761,0.99255,0.99258,0.94201,0.26127,0.15323,0.78451,0.000116153,0.000116153,0.000116153
50,4475.0,0.38278,0.21581,0.85455,0.98585,0.99271,0.99281,0.95262,0.25241,0.14928,0.7823,0.000107023,0.000107023,0.000107023
51,4564.37,0.38145,0.21559,0.85441,0.98147,0.99354,0.98745,0.94064,0.25607,0.15137,0.7829,9.81863e-05,9.81863e-05,9.81863e-05
52,4653.5,0.37099,0.21117,0.84916,0.99288,0.99009,0.99245,0.94927,0.2502,0.14957,0.78122,8.96602e-05,8.96602e-05,8.96602e-05
53,4742.86,0.3697,0.21127,0.84808,0.99208,0.99057,0.99259,0.95141,0.24603,0.14663,0.78057,8.1462e-05,8.1462e-05,8.1462e-05
54,4831.91,0.36159,0.20735,0.84472,0.99329,0.98825,0.99294,0.95025,0.24823,0.14686,0.78139,7.36083e-05,7.36083e-05,7.36083e-05
55,4921.33,0.36076,0.20689,0.84539,0.99261,0.99127,0.99288,0.953,0.24107,0.1457,0.7795,6.61148e-05,6.61148e-05,6.61148e-05
